variable	mean	sd	2.5%	25%	50%	75%	97.5%
sigma2[1]	0.490093339225	0.242884006804481	0.18947905	0.319224	0.4356775	0.60537325	1.0765382500000003
sigma2[2]	0.32132970515000003	0.14803063958501206	0.1321697	0.21882474999999998	0.28927349999999996	0.38804075000000005	0.6752059
sigma2[3]	0.23440696835	0.0988617391311912	0.104941425	0.16754225	0.21347850000000002	0.2773825	0.48738300000000023
sigma2[4]	0.26047455565	0.1116108388294815	0.117880725	0.18439875	0.2373405	0.3096545	0.5307187000000001
sigma2[5]	0.24122840515000002	0.10764705065753859	0.109011775	0.16757775	0.219092	0.28754075	0.5088581750000001
sigma2[6]	0.2310427705	0.0924120107782592	0.1099348	0.16714474999999998	0.21250449999999999	0.2741285	0.464689925
sigma2[7]	0.244474522675	0.10051543668089644	0.113294275	0.174864	0.2229955	0.288008	0.5049644250000002
sigma2[8]	0.551588999775	0.26589550573134446	0.21047912500000002	0.36381625	0.49686549999999996	0.6753439999999999	1.1967687500000002
sigma2[9]	0.231535329025	0.0935230922757485	0.1120204	0.1657095	0.21312	0.2745485	0.47535407500000004
sigma2[10]	0.35646260725	0.16638007629969295	0.14435127499999997	0.24328275000000002	0.319798	0.42898125000000004	0.8063191999999999
sigma2[11]	0.3744503803	0.1915135413940116	0.14068435	0.244251	0.3299685	0.4544215	0.8706566500000005
sigma2[12]	0.78750085425	0.36623338160002783	0.30175525000000003	0.5403045000000001	0.7200905	0.953693	1.664067500000001
sigma2[13]	0.3564266154	0.16706809769208833	0.1442156	0.242842	0.3240455	0.428285	0.77224405
sigma2[14]	0.56175539575	0.2657351782930956	0.219621875	0.376485	0.5031865	0.6790065	1.23740625
sigma2[15]	0.41158714347500003	0.1905058842757233	0.1660922	0.27967699999999995	0.3726845	0.49575725	0.8794747500000002
sigma2[16]	0.37988849335	0.16626519980863075	0.16056754999999998	0.26409925	0.34497849999999997	0.45825499999999997	0.7891134250000001
sigma2[17]	0.2523175202	0.1085805660516972	0.11269789999999999	0.17649974999999998	0.230874	0.30077200000000004	0.530713175
sigma2[18]	0.357949872925	0.1610936339967629	0.15253750000000002	0.24823675	0.32498649999999996	0.429191	0.7590940000000006
sigma2[19]	0.368706090925	0.17788160183027713	0.14393992500000002	0.2470175	0.32893700000000003	0.4458195	0.8178371250000002
sigma2[20]	0.342742664625	0.16015145052807941	0.1372138	0.23090975	0.3065175	0.41320625	0.740477525
sigma2[21]	0.50668477405	0.24547223935624207	0.1892308	0.330227	0.4541615	0.6258684999999999	1.1162447500000001
sigma2[22]	0.380715915075	0.1883059842898419	0.14862975	0.25176575	0.3384045	0.46025174999999996	0.86835645
sigma2[23]	0.380931013275	0.1821735566784637	0.15376634999999997	0.25680625	0.3407115	0.45821375	0.8547905500000001
sigma2[24]	0.27210619005000003	0.12204324971078212	0.119273325	0.18750375	0.2435345	0.3282485	0.5728527750000002
sigma2[25]	0.337332069025	0.15446758904438168	0.140763375	0.2308945	0.30347	0.40495600000000004	0.7159030000000001
sigma2[26]	0.369661386325	0.17790839336712228	0.145863225	0.24781025	0.3353005	0.449807	0.8026510250000002
sigma2[27]	0.645598477	0.291063009597462	0.254844325	0.43861425	0.5853385	0.79129025	1.3703952500000003
sigma2[28]	0.388512894625	0.17634794325823358	0.16237352500000002	0.26635775	0.350113	0.46899274999999996	0.8139383750000002
sigma2[29]	0.6177003605	0.3005211766490427	0.223068775	0.4031165	0.555119	0.75882525	1.3713985000000002
sigma2[30]	0.2731104646	0.1223731238653207	0.116193925	0.18829125000000002	0.2463105	0.33107775	0.5785291000000002
sigma2[31]	0.27097243725	0.11161243970655253	0.12220385	0.19354525	0.248006	0.324179	0.5481995000000002
sigma2[32]	0.2319605501	0.09366311879787423	0.109065725	0.16642975	0.2125895	0.27397	0.4711755750000001
sigma2[33]	0.312863480525	0.13591297829720592	0.1357953	0.21721325	0.282221	0.38325200000000004	0.6509226000000004
sigma2[34]	0.32170581945	0.13699001261670593	0.1435635	0.22592849999999998	0.29054250000000004	0.3907905	0.656782725
sigma2[35]	0.44566176995	0.2107771087615896	0.1718189	0.29890300000000003	0.401331	0.5431885	0.9889671500000002
sigma2[36]	0.292627925875	0.12547917459626007	0.12889612499999997	0.206494	0.2696985	0.3443685000000001	0.6195313500000001
sigma2[37]	0.253737283725	0.10735067140916786	0.11533092499999999	0.18098925	0.2301445	0.30312475	0.5178389250000002
sigma2[38]	0.34389545795	0.15400692284223763	0.14430352500000002	0.23742175	0.314736	0.41535774999999997	0.7173100250000004
sigma2[39]	0.3656739121	0.17313709250625087	0.14817260000000002	0.24544624999999998	0.3253375	0.43831875	0.8017049500000003
sigma2[40]	0.2701911657	0.11653529697706885	0.12036935	0.1887925	0.24413200000000002	0.32153475	0.564317
sigma2[41]	0.248490908225	0.10385914051455633	0.113293675	0.17543475	0.225817	0.29545075	0.50374745
